TOI,First Name_x,Last Name_x,Team_x,Cntry,SV%_x,GA_x,GAA_x
2692.83,Allen,Jake,STL,CAN,0.9245875883739199,96,2.13901360278963
0.13,Alves,Jorge,CAR,USA,0.0,0,0.0
244.84,Bachman,Richard,VAN,USA,0.920863309352518,11,2.6956379676523445
248.43,Berra,Reto,FLA,CHE,0.8793103448275862,14,3.3812341504649197
444.72,Berube,Jean-Francois,NYI,CAN,0.9017094017094017,23,3.10307609282245
81.36,Bibeau,Antoine,TOR,CAN,0.9487179487179487,2,1.4749262536873158
261.8,Brossoit,Laurent,EDM,CAN,0.9296875,9,2.0626432391138274
2612.57,Budaj,Peter,"LAK, TBL",SVK,0.9252925292529253,83,1.90616902130852
15.98,Campbell,Jack,LAK,USA,1.0,0,0.0
53.12,Comrie,Eric,WPG,CAN,0.8918918918918919,4,4.518072289156627
1787.11,Condon,Mike,"PIT, OTT",USA,0.9198113207547169,68,2.28301559501094
46.89,Copley,Pheonix,STL,USA,0.9,2,2.5591810620601407
561.92,Coreau,Jared,DET,CAN,0.9028776978417266,27,2.882972665148064
942.67,Dell,Aaron,SJS,CAN,0.9487750556792873,23,1.4639269309514464
32.42,Driedger,Chris,OTT,CAN,0.7142857142857143,4,7.402837754472547
3025.38,Dubnyk,Devan,MIN,CAN,0.9306594153636981,102,2.0228863812149216
211.21,Enroth,Jhonas,TOR,SWE,0.853448275862069,17,4.829316793712419
1644.77,Fleury,Marc-Andre,PIT,CAN,0.9169435215946844,75,2.735944843351958
47.1,Forsberg,Anton,CBJ,SWE,0.88,3,3.821656050955414
50.17,Gillies,Jon,CGY,USA,0.96,1,1.1959338249950169
2288.86,Greiss,Thomas,NYI,DEU,0.9209183673469388,93,2.4378948472165183
967.33,Grubauer,Philipp,WSH,DEU,0.9398148148148148,26,1.612686466872732
11.45,Gudlevskis,Kristers,TBL,LVA,1.0,0,0.0
1242.1,Halak,Jaroslav,NYI,SVK,0.9186746987951807,54,2.608485629176395
74.66,Hellberg,Magnus,NYR,SWE,0.9259259259259259,2,1.6072863648540048
2279.98,Hellebuyck,Connor,WPG,USA,0.9181434599156119,97,2.552653970648865
2874.2,Holtby,Braden,WSH,CAN,0.9364844903988183,86,1.7952821654721314
1072.8,Hutchinson,Michael,WPG,CAN,0.9132947976878613,45,2.516778523489933
1127.43,Hutton,Carter,STL,CAN,0.9211045364891519,40,2.128735265160586
58.36,Jarry,Tristan,PIT,CAN,0.9166666666666666,2,2.05620287868403
3001.43,Jones,Martin,SJS,CAN,0.9163554891710232,112,2.2389327753770703
646.87,Korpisalo,Joonas,CBJ,FIN,0.9079754601226994,30,2.782630203904958
866.41,Kuemper,Darcy,MIN,CAN,0.9096638655462185,43,2.9778049653166514
7.39,Langhamer,Marek,ARI,CZE,1.0,0,0.0
2559.68,Lehtonen,Kari,DAL,FIN,0.925,93,2.179959994999375
168.49,Leighton,Michael,CAR,CAN,0.8450704225352113,11,3.9171464181850553
111.02,Lindgren,Charlie,MTL,USA,0.9433962264150944,3,1.6213294901819493
147.04,Martin,Spencer,COL,CAN,0.8666666666666667,10,4.080522306855277
152.02,Mazanec,Marek,NSH,CZE,0.8656716417910448,9,3.55216418892251
900.25,McElhinney,Curtis,"CBJ, TOR",CAN,0.9270833333333334,35,2.33268536517634
267.36,McIntyre,Zane,BOS,USA,0.864406779661017,16,3.5906642728904847
2200.09,Mrazek,Petr,DET,CZE,0.9166666666666666,93,2.536259880277625
19.5,Nedeljkovic,Alex,CAR,USA,1.0,0,0.0
1352.74,Niemi,Antti,DAL,FIN,0.9088191330343797,61,2.7056197051909456
117.77,Peters,Justin,ARI,CAN,0.9375,4,2.037870425405451
2223.35,Pickard,Calvin,COL,CAN,0.9130067567567568,103,2.779589358400612
18.65,Rittich,David,CGY,CZE,1.0,0,0.0
950.1,Saros,Juuse,NSH,FIN,0.9269776876267748,36,2.2734449005367856
2686.76,Schneider,Cory,NJD,USA,0.9222873900293255,106,2.36716342360315
465.69,Smith,Jeremy,COL,USA,0.9012345679012346,24,3.092185788829479
99.27,Stalock,Alex,MIN,USA,0.9285714285714286,3,1.813236627379873
282.43,Stolarz,Anthony,PHI,USA,0.950354609929078,7,1.4870941472223205
26.18,Subban,Malcolm,BOS,CAN,0.8571428571428572,2,4.583651642475171
3417.26,Talbot,Cam,EDM,CAN,0.9284436493738819,120,2.1069511831116157
6.97,Tokarski,Dustin,ANA,CAN,1.0,0,0.0
50.13,Ullmark,Linus,BUF,SWE,0.9285714285714286,2,2.39377618192699
2209.61,Vasilevskiy,Andrei,TBL,RUS,0.9237588652482269,86,2.3352537325591394
2939.53,Ward,Cam,CAR,CAN,0.91280276816609,126,2.5718397158729456
